Market_Date,SPY_Close,SPY_High,SPY_Low,SPY_Open,SPY_Volume,VGT_Close,VGT_High,VGT_Low,VGT_Open,VGT_Volume,VIX Close,VIX High,VIX Low,VIX Open,VTI_Close,VTI_High,VTI_Low,VTI_Open,VTI_Volume,close,high,low,open,volume
1/3/05 0:00,120.3,121.76,119.9,121.6,56002000,46.56,47.46,46.56,47.46,8300,14.08,14.23,13.25,13.39,58.6,59.43,58.45,59.4,525000,21.41,22.3,21.25,22.11,9279700
1/4/05 0:00,118.83,120.54,118.44,120.46,69270704,45.6,46.73,45.54,46.73,6400,13.98,14.45,13.93,14.01,57.82,58.75,57.64,58.75,244200,20.21,21.51,20.21,21.48,20381300
1/5/05 0:00,118.01,119.25,118,118.74,65878000,45.36,45.6,45.36,45.6,1900,14.09,14.09,13.26,13.98,57.42,57.98,57.42,57.88,380800,19.75,20.61,19.52,20.32,19230900
1/6/05 0:00,118.61,119.15,118.26,118.44,48291000,45.19,45.56,45.19,45.56,6800,13.58,14.09,13.33,14.09,57.7,57.9,57.43,57.55,201800,19.72,20.11,19.34,20.07,10759500
1/7/05 0:00,118.44,119.23,118.13,118.97,55857400,45.22,45.27,44.95,45.25,2900,13.49,13.51,12.94,13.47,57.51,57.83,57.36,57.8,271200,19.92,20.2,19.15,19.91,16590800
1/10/05 0:00,119,119.46,118.34,118.34,56799100,45.21,45.47,45.04,45.36,4200,13.23,13.93,12.94,13.92,57.74,58.05,57.54,57.55,584200,20.13,20.49,19.96,20.1,11596200
1/11/05 0:00,118.18,118.74,117.99,118.64,63360500,44.86,45.06,44.74,45.06,3100,13.19,13.68,13.05,13.44,57.39,57.65,57.26,57.65,212200,14.86,16.75,14.8,16.63,99963000
1/12/05 0:00,118.57,118.84,117.52,118.4,74306400,44.91,45.07,44.53,44.99,1700,12.56,13.94,12.54,13.94,57.65,57.65,57,57.45,434200,15.02,15.15,14.63,14.95,42208300
1/13/05 0:00,117.62,118.73,117.5,118.64,55785800,44.96,45.02,44.87,44.9,2300,12.84,12.86,12.37,12.7,57.2,57.63,57.09,57.52,151200,15.16,15.26,15.04,15.1,22242300
1/14/05 0:00,118.24,118.53,117.76,117.97,42034200,44.77,44.9,44.75,44.75,5100,12.43,12.82,12.29,12.68,57.45,57.61,57.22,57.35,243400,15.16,15.45,15.01,15.2,15614900
